dataset,method,score_W1_train,score_W1_test,R2_real_mean,R2_fake_mean,R2_both_mean,f1_real_mean,f1_fake_mean,f1_both_mean,coverage_train,coverage_test,percent_bias,coverage_rate,AW,f1_class,time_taken,density_shape,density_trend,density_overall,mle,c2st,R2_real_lin,R2_fake_lin,R2_both_lin,f1_real_lin,f1_fake_lin,f1_both_lin,R2_real_linboost,R2_fake_linboost,R2_both_linboost,f1_real_linboost,f1_fake_linboost,f1_both_linboost,R2_real_tree,R2_fake_tree,R2_both_tree,f1_real_tree,f1_fake_tree,f1_both_tree,R2_real_treeboost,R2_fake_treeboost,R2_both_treeboost,f1_real_treeboost,f1_fake_treeboost,f1_both_treeboost
wine,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=vp duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3 ,1.053075611549517,1.4895685434004289,0.0,0.0,0.0,0.938396880519158,0.9532127554737402,0.9663975484067739,0.9422535211267605,0.9166666666666665,0.0,0.0,0.0,"[0.32754743604706027, 0.32270765726684947, 0.3362649869636588, 0.34713714466837353, 0.31636700899370407]",533.4035952091217,0.9035211267605634,0.8526860680870747,0.8781035974238192,0.9990542790542791,0.9958653991247925,0.0,0.0,0.0,0.9487179487179486,0.9470487043820377,0.9684873151539819,0.0,0.0,0.0,0.83390768588137,0.8938343911447229,0.923749861201845,0.0,0.0,0.0,1.0,0.9937631184407796,0.9958200293792496,0.0,0.0,0.0,0.9709618874773142,0.9782048079274204,0.9775329878920189
wine,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3 ,0.9839401234789863,1.5131364068000177,0.0,0.0,0.0,0.938396880519158,0.9335665419876656,0.96058528902236,0.9549295774647888,0.8888888888888888,0.0,0.0,0.0,"[0.34396713953266056, 0.33747138092295376, 0.3385273700304619, 0.33551973236438276, 0.33871078313723285]",517.6022696495056,0.9046277665995976,0.8737230459671599,0.8891754062833787,0.9941321641321641,0.9926223530003522,0.0,0.0,0.0,0.9487179487179486,0.9434600461267127,0.9573963969753443,0.0,0.0,0.0,0.83390768588137,0.832799118145445,0.8911201977105867,0.0,0.0,0.0,1.0,0.9957651311910183,1.0,0.0,0.0,0.0,0.9709618874773142,0.9622418724874866,0.9938245614035088
wine,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=flow duplicate_K=100 ycond=True depth=7 n_trees=100 eta=0.3 ,0.882584937580604,1.4479030608523762,0.0,0.0,0.0,0.938396880519158,0.9564786048468628,0.9641673637550313,0.9591549295774648,0.9166666666666667,0.0,0.0,0.0,"[0.32558413325455327, 0.309063735757644, 0.337967183529151, 0.27060413010272655, 0.31169064437979116]",704.8878905773163,0.9131790744466801,0.8723408638052816,0.8927599691259809,0.9963314925814926,1.0,0.0,0.0,0.0,0.9487179487179486,0.9640645773979106,0.9640949667616334,0.0,0.0,0.0,0.83390768588137,0.9023488729985791,0.9226520810410479,0.0,0.0,0.0,1.0,0.997742504409171,0.9989605197401299,0.0,0.0,0.0,0.9709618874773142,0.9617584645817897,0.9709618874773142
wine,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=vp duplicate_K=100 ycond=True depth=7 n_trees=100 eta=0.3 ,1.0050305516991365,1.4486282847729508,0.0,0.0,0.0,0.938396880519158,0.9499311667731458,0.9596760034602099,0.9507042253521126,0.8999999999999999,0.0,0.0,0.0,"[0.30928987518203804, 0.3103938368796029, 0.3543717613217068, 0.2990289236757127, 0.31604592647781293]",729.6876366138458,0.9171026156941651,0.8715537135221247,0.8943281646081449,0.9949627687127688,0.99930586992606,0.0,0.0,0.0,0.9487179487179486,0.9474462081128747,0.9538385565052231,0.0,0.0,0.0,0.83390768588137,0.8966780443721973,0.8980714859002812,0.0,0.0,0.0,1.0,0.9884149702926315,0.9926015939398722,0.0,0.0,0.0,0.9709618874773142,0.9671854443148795,0.9941923774954629
wine,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3 ,0.9464206127526187,1.4604015051571702,0.0,0.0,0.0,0.9585582380914485,0.9228767215918506,0.9563893977088616,0.9624413145539908,0.9462962962962962,0.0,0.0,0.0,"[0.34396713953266056, 0.33747138092295376, 0.3385273700304619, 0.33551973236438276, 0.33871078313723285, 0.3488801934308273, 0.33509813532271604, 0.32745157312467654, 0.31196021071819596, 0.3070501368608537, 0.34192091051083257, 0.3526166267517944, 0.34533688163976983, 0.33390823227118854, 0.3118753065113318]",379.4853810469309,0.9112676056338029,0.8801751241295437,0.8957213648816733,0.9917627280127279,0.9924312157336148,0.0,0.0,0.0,0.946394619026198,0.9269658547044766,0.9543275758246518,0.0,0.0,0.0,0.9093720944456758,0.8166416756248291,0.8931435919840628,0.0,0.0,0.0,0.9982675329002167,0.9896952984824697,0.9979251460689407,0.0,0.0,0.0,0.9801987059937031,0.9582040575556272,0.9801612769577908
wine,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=vp duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3 ,1.0230515638543616,1.4489674299191977,0.0,0.0,0.0,0.9585582380914485,0.923969283061533,0.9622976232213889,0.9488262910798122,0.9537037037037036,0.0,0.0,0.0,"[0.32754743604706027, 0.32270765726684947, 0.3362649869636588, 0.34713714466837353, 0.31636700899370407, 0.3316068390391723, 0.32450201635735715, 0.3287887211430677, 0.30103488293376085, 0.33820130356999606, 0.32502236827344627, 0.3129722823002833, 0.34334746868438165, 0.32202404665790024, 0.3298028358928011]",404.62801877657574,0.9064050972501676,0.8719719751770518,0.8891885362136099,0.9967812588645922,0.989814395654142,0.0,0.0,0.0,0.946394619026198,0.9349847276718662,0.9647700447700448,0.0,0.0,0.0,0.9093720944456758,0.8177625705149633,0.9083601189777836,0.0,0.0,0.0,0.9982675329002167,0.9796413307216537,0.9930668883291236,0.0,0.0,0.0,0.9801987059937031,0.9634885033376488,0.9829934408086032
wine,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=flow duplicate_K=100 ycond=True depth=7 n_trees=100 eta=0.3 ,0.8648571838866526,1.4325648890411973,0.0,0.0,0.0,0.9585582380914485,0.895843305364777,0.9632838824696021,0.971830985915493,0.9555555555555555,0.0,0.0,0.0,"[0.32558413325455327, 0.309063735757644, 0.337967183529151, 0.27060413010272655, 0.31169064437979116, 0.33267876010355923, 0.30164489687018814, 0.31629018458903163, 0.32242281844531184, 0.30991353617957124, 0.30710839608919416, 0.3166648906682511, 0.3221022423576233, 0.30708200411841885, 0.2988220105157785]",512.033451795578,0.916431924882629,0.880864131222424,0.8986480280525264,0.9964371276871277,0.9974385091293194,0.0,0.0,0.0,0.946394619026198,0.9135897287196459,0.9597102157102156,0.0,0.0,0.0,0.9093720944456758,0.7085171274424875,0.9276271173955878,0.0,0.0,0.0,0.9982675329002167,0.9960859753544745,0.9968815592203897,0.0,0.0,0.0,0.9801987059937031,0.9651803899424999,0.9689166375522144
wine,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=vp duplicate_K=100 ycond=True depth=7 n_trees=100 eta=0.3 ,0.978184630017146,1.4320514222366747,0.0,0.0,0.0,0.9585582380914485,0.9374411360981535,0.961977426129299,0.9544600938967137,0.95,0.0,0.0,0.0,"[0.30928987518203804, 0.3103938368796029, 0.3543717613217068, 0.2990289236757127, 0.31604592647781293, 0.32047007958150736, 0.32182091139900415, 0.31158293998187003, 0.3104627059059456, 0.28148899431835117, 0.31968098505377684, 0.3118584056204611, 0.31740492591590386, 0.3383957947951778, 0.3163948354354888]",498.4443910916646,0.9165995975855131,0.8780791871845087,0.8973393923850108,0.9952051266634601,0.9986062907633753,0.0,0.0,0.0,0.946394619026198,0.9279363365179579,0.9563071877223924,0.0,0.0,0.0,0.9093720944456758,0.8848543102154119,0.9143639621187395,0.0,0.0,0.0,0.9982675329002167,0.9810205695137652,0.9947619172869706,0.0,0.0,0.0,0.9801987059937031,0.9559533281454775,0.9824766373890932
car,forest_diffusion n_t=10 n_t_sampling=10 model=xgboost diffusion=mixed-flow duplicate_K=10 ycond=False depth=7 n_trees=100 eta=0.3 ,0.5991316931982708,1.023648394301643,0.0,0.0,0.0,0.821876313999688,0.4355898784984946,0.6642317553026652,0.4717800289435601,0.6040462427745664,0.0,0.0,0.0,[0.4139597851030855],15.58381962776184,0.9707463303700641,0.9247467438494935,0.9477465371097789,0.9557171008685711,0.901162943897309,0.0,0.0,0.0,0.8541542501729696,0.40350044450088896,0.7797028992200147,0.0,0.0,0.0,0.5851672700654836,0.46902042024267543,0.6495290659939994,0.0,0.0,0.0,0.899152628032345,0.39989233739233737,0.5839394145962896,0.0,0.0,0.0,0.9490311077279538,0.46994631185807656,0.6437556414003568
car,forest_diffusion n_t=10 n_t_sampling=10 model=xgboost diffusion=mixed-flow duplicate_K=10 ycond=False depth=7 n_trees=100 eta=0.3 ,0.6273516642547118,1.0228662489648188,0.0,0.0,0.0,0.821876313999688,0.4055966242413521,0.5853125063781093,0.434876989869754,0.6271676300578035,0.0,0.0,0.0,[0.41003865637758646],18.44635796546936,0.9756047136654952,0.9178726483357453,0.9467386810006202,0.9366222759674481,0.8968116978584691,0.0,0.0,0.0,0.8541542501729696,0.3531742581840387,0.6038353397658668,0.0,0.0,0.0,0.5851672700654836,0.4717685173436629,0.6497249060654858,0.0,0.0,0.0,0.899152628032345,0.3869057386389535,0.5246197507343018,0.0,0.0,0.0,0.9490311077279538,0.4105379827987533,0.5630700289467825
